sit,,Mid,North,South
Production per timestep [MWh],,Gas plant,Gas plant,Gas plant
stf,t,,,
2019,1,14367.4966875,3667.06391998,1625.79993669
2019,2,13897.3342903,3589.79150105,1548.99532894
2019,3,13530.9407056,3545.77873169,1453.45039691
2019,4,13406.0338017,3528.27365296,1366.20036252
2019,5,13202.019192,3551.28032786,1278.95032812
2019,6,12494.5336775,3662.56261403,1240.24080582
2019,7,12559.5493223,3751.08829786,1214.43445762
2019,8,12694.0644496,3790.34968871,1183.28464347
2019,9,13246.2662094,3813.3563636,910.574806227
2019,10,13668.5485225,3924.73210086,361.241943192
2019,11,14516.0015956,4038.18412036,123.552659014
2019,12,14755.4823135,4111.1395266,99.2006535418
2019,13,14696.2218108,4160.93424541,162.485869714
2019,14,14637.0017511,4232.1140809,195.87713662
2019,15,14959.6945082,4403.69935095,204.576445103
2019,16,16020.2347463,4514.30973019,448.386610789
2019,17,17520.2750511,4524.06255977,952.230189266
2019,18,17961.9330523,4479.04950019,1327.97649065
2019,19,17763.0428284,4400.02657339,1691.80569032
2019,20,17047.550461,4309.50030913,1789.54736039
2019,21,16932.2517805,4163.70801062,1825.79913525
2019,22,17068.3682783,4028.16868679,1843.31058581
2019,23,15982.3187628,3862.12051147,1825.18469838
2019,24,14995.5542221,3740.83532318,1741.62128516
2019,25,14213.7651135,3683.06856339,1564.35625049
2019,26,13873.634006,3652.05956679,1434.40285419
2019,27,13841.9268689,3652.80978445,1329.94858766
2019,28,13947.2970519,3718.07872084,1270.65543049
2019,29,14608.3428201,3908.13386126,1243.92742699
2019,30,16236.296134,4345.26068424,1238.0902768
2019,31,18271.9583932,4761.88155785,1275.87814381
2019,32,19594.0499297,4949.6860453,1360.34528586
2019,33,19910.17435,4976.69388104,1304.32591487
2019,34,20114.2493802,5000.0,1045.3118085
2019,35,20645.2798342,5000.0,895.553041938
2019,36,20624.1011941,4981.82325542,834.272980146
2019,37,20630.2294928,4969.14525702,821.424736278
2019,38,20673.9249646,5000.0,711.441006573
2019,39,20986.4938967,5000.0,824.734187519
2019,40,21873.6789621,5000.0,1122.90581761
2019,41,22655.9848047,5000.0,1608.63638993
2019,42,22449.4871041,5000.0,1997.80994083
2019,43,21598.4084661,5000.0,2314.68116387
2019,44,20311.6096576,4944.93466679,2400.0
2019,45,19709.3486102,4743.37618892,2391.38826666
2019,46,19334.9481726,4528.56386573,2334.55285693
2019,47,17826.4571027,4269.48870062,2232.55633785
2019,48,16511.4115967,4073.18174637,2129.33094504
2019,49,15852.9280213,3985.9064253,1865.73753127
2019,50,15494.2210153,3975.40337807,1638.70311079
2019,51,15516.6402032,3989.6575136,1527.18282035
2019,52,15797.5205999,4050.92528913,1461.43807612
2019,53,16374.6545506,4212.9723036,1442.3905334
2019,54,17606.1085133,4642.84702253,1438.08947536
